original,OriginalSign,OriginalPhraseImageCount,AIcurated,AIcuratedSign,AIcuratedPhraseImageCount,HumanCurated,HumanCuratedSign,HumanCuratedPhraseImageCount
2 data sets,(-),1,2D,(-),2.0,-,(+) (-),3.0
2 dimensions,(-),1,3D,(+),6.0,2D/3D,(+) (-),11.0
2 lines to describe differences,(+),1,3D visualization,(+),2.0,a specific domain,(+) (-),5.0
2D,(-),1,a little busier,(+),1.0,a specific technique,(+) (-),27.0
2d geometric shapes,(-),1,a lot of text,(+),4.0,"a specific technique, e.g., bar, pie, circle",(+) (-),11.0
3 Dimensional elements,(+),1,a lot of words,(+),3.0,abstract shapes or colors,(+),5.0
3 aspects,(+),1,a lot of writing,(+),2.0,almost no explanation,(+),1.0
3 axes,(-),1,abstract,(+),2.0,ambiguous numbers,(+),1.0
3D,(+),2,abstract painting,(+),2.0,ambiguous/confusing colors,(+) (-),6.0
3D visualization (4 dimension matrix),(+),1,additional key,(+),1.0,amount of / too many colors,(+),9.0
4 axes,(+),1,alignment,(-),2.0,amount of words/context/numbers,(+) (-),25.0
4 different center points,(+),1,all the text,(+),1.0,appealing colors,(+) (-),3.0
4 or 5 axes,(+),1,almost no explanation,(+),1.0,arbitrary imaging,(+),1.0
A few squares,(-),1,ambiguous colors,(+) (-),6.0,attention/squinting to understand,(+),4.0
A lot more parameters,(+),1,ambiguous numbers,(+),1.0,axis meaning,(-),1.0
A lot of colors,(+),2,amount of colors,(+),3.0,axis numbers,(-),1.0
A lot of data,(+),2,amount of subjects,(+),1.0,axis scales,(-),1.0
A lot of lines,(+),1,amount of text,(+),1.0,bars as individual lines,(+) (-),2.0
A lot of shapes,(+),1,animal shapes,(+),1.0,black color,(+) (-),2.0
A lot of text,(+),1,appealing colors,(+) (-),4.0,black-to-white/color gradient,(+) (-),7.0
A map is easier to read than a chart,(-),1,arbitrary imaging,(+),1.0,blended colors,(+),1.0
A plethora of datapoints,(+),1,arrow directions,(+),1.0,blue color,(+) (-),2.0
Able to imagine a meaning,(-),2,arrows,(+),1.0,blurry colors/images,(+),3.0
Abundance of individual objects,(+),1,axes titles,(+),1.0,bold colors,(+),1.0
All points converges to each other so that it makes more sense,(-),1,axis,(+) (-),9.0,bright colors,(+) (-),3.0
Almost no explanation,(+),1,axis data,(+),1.0,captions,(-),1.0
Ammount of information,(+),1,axis labeling,(+),1.0,categorized shapes,(+),1.0
Amount of data,(+),1,axis meaning,(-),1.0,change over time,(+),1.0
Amount of details,(+),2,axis numbers,(-),1.0,clear and concise,(-),1.0
Amount of information,(+),2,axis of parameters,(+),1.0,clear color uses,(+),2.0
Amount of subjects,(+),1,axis scales,(-),1.0,clear colored bars/charts,(+),1.0
Axes titles,(+),1,background color,(+),1.0,clear colors/shapes,(-),5.0
Background color,(+),1,bad color contrast,(+),1.0,clear connection,(-),2.0
Bad color choice in regard to contrasts,(+),2,bad colors/contrast,(+),1.0,clear delineation,(-),1.0
Bar graph,(-),1,bad design,(+),1.0,clear indication,(-),4.0
Bigger key,(+),1,bar graph,(+) (-),5.0,clear text arrangement/density,(+),3.0
Black is discordant here.,(+),1,bars as individual lines,(+) (-),2.0,clear text/scale/information,(+) (-),4.0
Brighter colors,(+),1,biology-related,(+),1.0,clear title/axis/label,(+) (-),11.0
Busier layout,(+),1,black,(+) (-),2.0,clearer coloring,(-),1.0
Can see line movement,(+),1,black and white,(-),3.0,clustered data/info,(+) (-),2.0
Can't tell what the graph is trying to say,(+),1,black background,(+),1.0,cluttered labels/annotations,(+),2.0
Cluttered,(+),1,black colored,(+),1.0,code/text,(+) (-),3.0
Cluttered Labels and Annotations,(+),2,black hole images,(+),1.0,color details,(+),4.0
Color Variability and Saturation,(+),2,black-to-white gradient,(+),1.0,color differentiation,(+),1.0
Color coded for separating facts,(+),1,blue box,(-),1.0,color dimension,(+),3.0
Color difference,(+),1,blue colored,(-),1.0,color hues,(-),1.0
Color saturation,(+),1,blue shades,(+),1.0,color intensity,(+),1.0
Color to take into account,(+),1,blue square,(+),1.0,color keys,(+),3.0
Color variability,(+),1,blurred colors,(+),2.0,color represents groups,(-),2.0
Colors,(+),2,blurry image,(+),1.0,color represents sounds,(+),1.0
Colors are in the same shade,(+),1,blurry to eyes,(+),1.0,color saturation,(+),2.0
Colors involved,(+),2,bold color variety,(+),1.0,color scale/scheme,(+) (-),5.0
Colors make easier to read.,(+),1,bold colors,(+),1.0,color shading,(+) (-),9.0
Colors more appealing,(-),1,boring color choice,(+),1.0,color superposition/layer,(+),2.0
Colour variation,(+),1,box symbols,(+),1.0,color variety/arrangement/distribution,(+) (-),108.0
Comparing different values,(+),1,bright color variety,(+),1.0,colored bars/charts,(+),1.0
Complexity,(+),2,brighter colors,(+) (-),2.0,colored shape,(+),2.0
Comprehensibility,(-),2,busier layout,(+),6.0,colored surface,(+),1.0
Concept.,(+),1,cannot identify,(+),1.0,complex design,(+),2.0
Confusing,(+),1,cannot make sense,(+),2.0,complicated to process,(+),8.0
Confusing to understand data points,(+),1,cannot process information,(+),1.0,concentrated,(+) (-),2.0
Context.,(+),1,cannot see content,(+),1.0,confusing connection,(+),3.0
Contrasting patterns,(+),1,cannot understand pattern,(+),1.0,context,(-),2.0
Curve lines,(-),1,captions,(-),1.0,context/text/description,(+),1.0
Data correlation.,(+),1,categorized shapes,(+),1.0,convoluted composition,(+),2.0
Data interpretation,(+),2,change over time,(+),1.0,crop production shown,(+),1.0
Data is overlapping,(+),1,chaotic,(+),1.0,curved lines,(+) (-),3.0
Densely packed information,(+),1,chart,(-),3.0,curves and shapes,(+) (-),7.0
Depth and Dimensionality,(+),4,chemicals,(+) (-),2.0,data intersection,(+),1.0
Description easy to read,(+),2,circle,(+) (-),2.0,data trend,(+),2.0
Design.,(+),1,circle graphs,(-),2.0,dates,(+),1.0
Details,(+),1,circle intersections,(+),1.0,dense points/lines/shapes/elements,(+) (-),8.0
Difference of clarity,(+),2,circle size,(+),2.0,dense/cluttered data/info,(+) (-),16.0
Different colors,(+),3,circles,(+),4.0,dense/cluttered layout,(+),11.0
Different font sizes,(+),1,circles and colors mixed,(+),1.0,dense/cluttered shape,(+),2.0
Different shades of colors,(+),1,circles and lines,(+),1.0,description,(-),1.0
Different size of circles,(+),1,city,(+),1.0,description easy to read,(+),2.0
Differing font size,(+),1,clean lines,(-),1.0,design-data relationship,(+) (-),5.0
Dots in more or less a line,(-),1,clear,(-),2.0,detailed inscription,(+),1.0
Ease of understanding,(+),2,clear and concise,(-),1.0,different clarity,(+) (-),2.0
Easy to understand,(-),1,clear connection,(-),2.0,different font/word sizes/structure,(+) (-),9.0
"Error bars, up and down",(+),1,clear labels,(+) (-),5.0,different labels,(+),1.0
Excessive Data Points,(+),1,clear path,(-),2.0,different movement,(+),1.0
Expected time and cognitive load to understand the key takeaway of/ key patterns suggested by the image (separating information from noise),(+),6,clear shape,(-),1.0,different word meaning,(+),1.0
Expected time and cognitive load to understand the logic of presentation,(+),4,clear text,(-),4.0,disposition,(+),1.0
Expected time and cognitive load to understand the majority of information in the image (separating information from noise),(+),6,clearer,(-),4.0,distinguishable color variety/arrangement/distribution,(+) (-),5.0
Extra detail on the edge,(+),1,clearer colors,(-),1.0,distinguishable/full color uses,(+),1.0
Few colors,(-),1,clearer title,(-),2.0,distinguishable/full/highly contrast color uses,(+),5.0
Few details,(-),1,clearly delineated,(-),1.0,distracting/confusing/unclear,(+),25.0
Football,(-),1,clearly see,(-),3.0,diverse information,(+),1.0
Forbes companies,(-),1,close items,(-),2.0,"domain-specific concepts (e.g., chemical, biology, map)",(+) (-),63.0
Geographical maps,(-),1,clustered circles,(+),2.0,drawing style,(+),2.0
Graphs,(-),1,clustered information,(+) (-),2.0,easier to compare/discern/distinguish,(-),1.0
Graphs take some time to understand,(+),1,cluttered,(+),8.0,easier to interpret/read/understand,(-),20.0
Great detail,(+),1,cluttered labels/annotations,(+),2.0,easier to process/visualize,(+) (-),9.0
Hard measure,(+),1,code meaning,(+) (-),2.0,easier to read,(-),3.0
Hard to find exact feature,(+),1,code/text,(-),1.0,easier to see/tell/visualize,(-),4.0
Hard to understand,(+),3,codes,(+),2.0,easy to derive meaning,(-),2.0
Harder to understand,(+),2,color,(+),3.0,easy to focus/follow,(-),3.0
Harder to understand hierarchy,(+),1,color arrangement,(+),1.0,easy to identify/extract/find features,(-),2.0
Heatmap,(+),1,color bar,(+),1.0,easy to interpret/read/understand,(+) (-),63.0
Higher contrast,(+),3,color choice,(+),1.0,easy to read,(-),1.0
How easily I could understand the information presented.,(-),2,color codes,(+),1.0,easy to understand,(-),3.0
How fast I can comprehend the content,(-),1,color coding,(+),3.0,element sizes,(+) (-),6.0
How much I had to read.,(+),4,color consideration,(+),1.0,error bars,(+),1.0
How quickly I realised what the information was showing.,(-),2,color contrast,(-),3.0,exact feature,(+),1.0
Human interpretability,(-),2,color contrast / contrast level,(+) (-),5.0,exact value,(+),1.0
I can easily follow,(-),1,color details,(+),2.0,explanation text,(+) (-),2.0
I can't describe what I can't see,(+),1,color difference,(+) (-),2.0,explanatory legend,(-),1.0
I didn't understand,(+),1,color differences,(+),2.0,eye-catching description,(+),1.0
I didn't understand what was going on in this image,(+),1,color differentiation,(+),1.0,factual information,(+),1.0
I do not understand the picture,(+),1,color dimension,(+),3.0,familiar representation,(+) (-),28.0
I don't even know,(+),1,color distribution,(+),3.0,fast readability,(-),2.0
I don't know what is being represented,(+),1,color encodes data,(+),1.0,feeling strange,(+),1.0
I don't know what red and green indicate,(+),1,color formats,(+),1.0,few lines,(-),1.0
I don't register what is supposed to be,(+),1,color gradient,(+),2.0,few points/lines/shapes/elements,(-),3.0
I don't understand the chart,(+),1,color hues,(-),1.0,fewer axes,(-),1.0
I have no idea what any of it means,(+),1,color intensity,(+),1.0,field information,(+),1.0
I struggled to read it,(+),1,color key,(+),2.0,fine/layered details,(+),10.0
I was more confused,(+),1,color keys,(+),1.0,font,(+),1.0
Image of Earth with lines,(+),1,color layering,(+),1.0,frame with values,(-),1.0
Image size,(+),1,color of dots,(+),1.0,good color contrast/separation/segmentation,(+) (-),5.0
Imaging seemed arbitrary,(+),1,color saturation,(+),2.0,graph,(+),1.0
Immense amount of detail,(+),1,color scale,(+),2.0,graphical information,(+),1.0
Ineligible,(+),1,color scheme,(+) (-),4.0,grid layout,(+),1.0
Information about what the visualisation is showing,(-),2,color segmentation,(+),1.0,hard to compare/discern/distinguish,(+),7.0
Information density,(+),1,color separation,(-),1.0,hard to describe,(+),2.0
Initial (intuitive) attractiveness to actually delve into the image and analyze it,(-),2,color shade changes,(+),2.0,hard to distinguish colors,(+),1.0
Intense colors,(+),1,color shade variation,(+) (-),2.0,hard to focus/follow,(+),5.0
Interconnectedness of Elements,(+),3,color similarity,(+),1.0,hard to identify/extract/find features,(+),6.0
Involves colors,(+),1,color superposition,(+),1.0,hard to interpret/read/understand,(+),38.0
Involves words/sentences,(+),1,color variation,(+),10.0,hard to interpret/read/understand/differentiate,(+),18.0
Irregularity of the spots,(+),1,color variety,(+),4.0,hard to measure/model,(+),2.0
It can be quite complex to work out the different category meanings.,(+),1,colored chart,(+),1.0,hard to read,(+),2.0
It contains more information.,(+),2,colored dots,(+),1.0,hard to read shape,(+),1.0
It has a key colour,(+),1,colored segments,(-),1.0,hard to see/tell/visualize,(+),7.0
It has more visual aids.,(+),2,colored shape,(+),2.0,harder to view data point,(+),1.0
It has more visual data,(+),1,colored surface,(+),1.0,hierarchical text,(+),1.0
It is harder to read,(+),1,colorful,(-),1.0,highlighted words,(-),1.0
It looks more visually complex.,(+),1,colors,(+),16.0,horizontal bars,(+),1.0
It was more confusing,(+),1,colors close together,(+),1.0,icons,(+),1.0
It's more difficult to read the words because they are small;,(+),2,colors clustered together,(+),1.0,image layout,(+),1.0
Jerusalem,(+),1,colors have meaning,(+) (-),2.0,image location,(+),1.0
Key is easy to understand,(+),2,colors improve readability,(+),1.0,image portrayal,(+),1.0
Labeled axis,(+),1,colors lack meaning,(+),2.0,image size,(+),1.0
Labels are clear,(+),2,colors represent groups,(-),1.0,inadequate/few coloring,(+) (-),8.0
Lack of label or explanation,(+),1,colors represent sounds,(+),1.0,inconsistent,(+),1.0
Lack of legend,(+),1,colors used,(-),1.0,indicating symbols,(+),3.0
Large numbers,(+),2,companies,(-),1.0,indication,(-),1.0
Larger dataset,(+),1,complex curve/shape,(+),6.0,indistinguishable/unintuitive lines,(+),5.0
Legend too close to visualization,(+),1,complex design,(+),2.0,infomration representation,(+),1.0
Legend too close to visualizations,(-),1,complex orange shades,(+),1.0,information nuance expressed,(+) (-),3.0
Less attractive,(+),1,complex to process,(+),3.0,information overload,(+),2.0
Less clear writing,(+),1,complicated,(+),5.0,intense/too many colors,(+),3.0
Less linear,(+),1,complicated formula,(+),1.0,intersecting lines,(+),2.0
Less organic shapes,(+),1,concentrated information,(+) (-),2.0,intuitive,(-),7.0
Less structured,(+),1,confusing,(+),19.0,involves numbers,(+),3.0
Less symetrical,(+),1,confusing connection,(+),3.0,irregular,(+),2.0
Less visually familiar,(+),1,confusing numbers/letters,(+),1.0,label meaning,(+) (-),2.0
Less words,(-),1,confusing to read,(+),1.0,labeled axis,(+),1.0
Letter size variation,(+),1,context,(-),2.0,lack of color contrast / hard to distinguish colors,(+) (-),13.0
Level of Detail,(+),4,contrasting colors,(-),1.0,lack of legend,(+),2.0
Lines,(+),1,contrasting patterns,(+),2.0,lack of meaning,(+),2.0
Looks complicated,(+),1,convoluted composition,(+),2.0,lack of/not enough axis labels/legend/annotations/context,(+) (-),36.0
Lots of boxes,(+),1,could be difficult,(+),1.0,large dataset,(+),2.0
Lots of colors,(+),1,countries,(+) (-),5.0,legend easy to understand,(+) (-),3.0
Lots of information,(+),1,country,(-),2.0,legend on the top,(+),1.0
Lots of inscription with details,(+),1,crop production shown,(+),1.0,length,(+),1.0
Lots of lines out of other lines,(+),1,cryptic labels,(+),1.0,length variation,(+),1.0
Lots of points,(+),1,curved lines,(+) (-),3.0,less attractive,(+),3.0
Lots of variables,(+),2,curves and points,(-),1.0,less clear,(+),1.0
Lots of writing,(+),1,dark and black,(+),1.0,less detailed/things,(-),1.0
Magnification effects,(+),1,dark green,(-),2.0,less empty space,(+),1.0
Many results in chart,(+),1,darker colors,(+),3.0,less intuitive,(+),3.0
Meaning of titles,(-),1,dashed box,(+),1.0,less negative space,(+),1.0
Mix of images and words,(+),1,dashed line,(+),1.0,less organic shapes,(+),1.0
More colors,(+),10,data intersection,(+),1.0,less organized elements,(+),3.0
More complex colour scheme,(+),1,data trend,(+),2.0,less simple,(+),1.0
More complex designs,(+),1,data visualization,(-),1.0,less understandable,(+),1.0
More connections and information,(+),1,dates,(+),1.0,less uniform shapes,(+),1.0
More data,(+),2,dense dataset,(+),1.0,line movement,(+),1.0
More data points,(+),1,densely packed,(+),4.0,line quantity representation,(+),1.0
More details,(+),3,densely packed shapes,(+),1.0,line thickness variation,(+),1.0
More different labels.,(+),1,denser points,(+),1.0,lines,(+),12.0
More different shapes,(+),1,description,(-),1.0,lines and scales,(+),1.0
More elements,(+),3,description easy to read,(+),2.0,little data/info,(+) (-),20.0
More elements.,(+),2,design-data relationship,(+) (-),5.0,little/less text/numbers/context,(+) (-),4.0
More individual elements,(+),1,detailed inscription,(+),1.0,looks random/messy/lack structure,(+),13.0
More information,(+),1,difference in clarity,(+),1.0,low color contrast/separation/segmentation,(+) (-),10.0
More informations in this image.,(+),1,different axes,(+),2.0,low readability,(+),1.0
More items,(+),1,different clarity,(+) (-),2.0,many legend categories,(+),1.0
More letters,(+),1,different color,(+),1.0,many measurements,(+),1.0
More line crossing each others,(+),1,different color reduces complexity,(+),1.0,many numbers,(+),3.0
More nuances,(+),1,different colors,(+) (-),15.0,many points/lines/shapes/elements,(+) (-),10.0
More numbers,(+),1,different data format,(+),1.0,many/more data/info,(+) (-),6.0
More overlapping colors,(+),1,different font sizes,(+) (-),6.0,messy/mixed up/noisy/intermingled elements,(+),11.0
More text,(+),2,different labels,(+),1.0,metric representation,(+),1.0
More unrelated data elements,(+),1,different shapes and sizes,(+),5.0,misaligned,(+),1.0
More variety in shapes,(+),1,different sizes,(+),3.0,mismatched number-circle proportion,(+),1.0
More visually stimulating,(+),1,different word meanings,(+),1.0,mixed size,(+),1.0
More words,(+),2,different word sizes,(+),1.0,mixed timeline,(+),1.0
Much more data,(+),1,difficult to understand,(+),23.0,monochrome,(+) (-),3.0
Multiple color schemes,(+),1,discordant color,(+),1.0,more axes,(+),1.0
Multiple colors and lines,(+),1,disposition,(+),1.0,more charts/points/lines/shapes/elements,(+) (-),91.0
Multiple data points,(+),1,distinct colors,(+) (-),3.0,more colors,(+),2.0
Multiple elements,(+),1,distinct shapes,(-),1.0,more complicated,(+),9.0
Multiple facts,(+),1,distracting design,(+),1.0,more contrast,(+),3.0
Multiple images,(+),1,diverse information,(+),1.0,more detailed/things,(+) (-),39.0
Multiple shapes,(+),1,dofficult to understand,(+),1.0,more difficult,(+) (-),3.0
NASA graph,(+),1,don't know,(+),3.0,more difficult to compare/discern/distinguish,(+),4.0
No axis,(+),1,don't know how to interpret,(+),1.0,more difficult to focus/follow,(+),3.0
No clear pattern,(+),1,don't know how to read,(+),1.0,more difficult to interpret/read/understand/differentiate,(+) (-),31.0
No clear visual cut off points,(+),1,don't know meaning,(+) (-),11.0,more effort/reading/detailed analysis,(+),9.0
No colors,(+),1,don't know where to look,(+),1.0,more forms,(+) (-),3.0
No data entry,(+),1,don't register what it is,(+),1.0,more interpretable/readable/understandable,(-),2.0
No explanation of data,(+),1,don't understand,(+),19.0,more intricate,(+),5.0
No graph metrics given,(-),2,dots,(+) (-),10.0,more labels/context,(+) (-),4.0
No graphic legend,(+),1,dots and lines,(-),1.0,more legible,(+),1.0
No labels on axes,(+),1,dots are related,(+),1.0,more nuance information,(+),2.0
No legends,(+),1,dots scattered,(+),1.0,more numbers,(+),2.0
No measurements,(+),2,drawing style,(+),2.0,more parameters/variables,(+),10.0
No numbers to identify anything,(+),1,dull blended colors,(+),1.0,more pixels,(+),1.0
No regularity in design,(+),1,earthquake-related,(-),2.0,more reading/interpretation/understanding,(+) (-),11.0
No regularity in design. (empty spaces for example).,(+),1,easier to compare,(-),1.0,more regions/space,(+),3.0
Not understandable at all,(+),1,easier to decipher,(-),1.0,more squares than shapes,(+),1.0
Num of objects/words,(-),2,easier to follow,(-),1.0,more text boxes,(+),1.0
Number of colours,(+),1,easier to interpret,(-),5.0,more texts/words,(+),22.0
Number of elements,(+),1,easier to process,(+) (-),7.0,more thinking,(+),1.0
Number of individual squares,(+),1,easier to read,(-),4.0,more title/axis/label,(+) (-),8.0
Number of letters,(+),1,easier to read and discern,(-),1.0,more to read/analyze/understand,(+),17.0
Number of parameters,(+),1,easier to see,(-),3.0,more uniform design,(-),2.0
Number of square,(+),1,easier to see the differences,(-),1.0,much/more data/info/info spread,(+) (-),77.0
Number of unique shapes,(+),1,easier to understand,(-),14.0,multi-year information,(+),1.0
Number of vertical lines,(+),1,easier to visualize,(-),2.0,multiple aspects,(+),2.0
Numbers of colors,(+),1,easy to decipher,(-),2.0,multiple features/elements/graphs,(+) (-),16.0
Numbers of entities,(+),1,easy to follow,(-),3.0,multiple interacting elements,(+),2.0
Odd shapes,(+),1,easy to identify,(-),2.0,multiple interpretation,(+),1.0
Only for trained eyes,(+),1,easy to interpret,(-),3.0,multiple points/lines/shapes/elements,(+),1.0
Order of words,(+),1,easy to read,(-),7.0,multiple shapes,(+),2.0
Overlapping,(+),1,easy to understand,(+) (-),27.0,multivariate,(+),1.0
Overlapping circles,(+),1,element size,(+) (-),4.0,negative space,(+),1.0
Pictures are more scattered,(+),1,error bars,(+),1.0,network representation,(+),1.0
Pixeled picture,(+),1,exact feature,(+),1.0,no clear indication,(+),5.0
Plotted points,(+),1,exact value,(+),1.0,no color,(+),1.0
Poor Color Choices,(+),1,explanation text,(+) (-),2.0,no color difference,(+),1.0
Processing information is not possible,(+),1,explanatory legend,(-),1.0,no context or reference,(+),6.0
Prominent colors,(+),1,eye-catching descriptions,(+),1.0,no data,(+),1.0
Proportions of the numbers don't match size of the circles,(+),1,factual information,(+),1.0,no detail,(+),2.0
Proximity of items,(-),2,familiar domain,(+) (-),2.0,no interaction,(-),1.0
Quantity of items,(+),1,familiar geographic shape,(+) (-),2.0,no measurement/metric,(+),1.0
Random letters,(+),1,familiar representation,(-),17.0,no measurement/metric/axis,(+) (-),7.0
"Range of colours, presumably conveying meaning.",(-),2,familiar symbols,(-),1.0,no more information,(+),1.0
Readability,(+),3,fast readability,(-),2.0,no square information,(+),1.0
Reading the values,(+),1,few colors,(-),1.0,nodes,(-),1.0
Seems more mathematical,(+),1,few data points,(-),3.0,nonlinear measurement/metric/axis,(+),1.0
Significantly more information,(+),1,few items,(-),1.0,nonlinearity,(+),2.0
