keyword,count,n_vistypes,topics_involved,step1_merge,step1b_criteria,step3_subtopic,removed_at,final_status,merged_into
more forms,3,1,Visual Encoding Clarity,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
few points/lines/shapes/elements,3,3,Data Density / Image Clutter,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
many numbers,3,3,Data Density / Image Clutter,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
information nuance expressed,3,3,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
less attractive,3,3,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
legend easy to understand,3,3,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
intense/too many colors,3,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
less intuitive,3,3,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
appealing colors,3,3,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
unreadable,2,2,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
black color,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
bars as individual lines,2,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
blue color,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
involves numbers,2,2,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
intersecting lines,2,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
information overload,2,1,Immediacy / Cognitive Load,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
irregular,2,2,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
value and graphic alignment,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
visually stimulating  texture/colors,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
label meaning,2,2,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
large dataset,2,2,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
lack of meaning,2,2,Semantics / Text Legibility,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
lack of legend,2,2,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
indicating symbols,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
nonlinearity,2,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
not easily understood,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
multiple aspects,2,2,Visual Encoding Clarity,MERGED (manual group),-,Element Quantity,"Step 1: merged into ""more charts/points/lines/shapes/elements""",merged,more charts/points/lines/shapes/elements
more numbers,2,2,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
more colors,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
more nuance information,2,2,Visual Encoding Clarity,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
more intricate,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more interpretable/readable/understandable,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
more uniform design,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
hard to measure/model,2,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to describe,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to read,2,1,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
explanation text,2,2,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
fast readability,2,2,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
no detail,2,2,Visual Encoding Clarity,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
convoluted composition,2,2,Aesthetics Uncertainty,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
data trend,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
technical encoding,2,2,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
text hard to read,2,2,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
cluttered labels/annotations,2,2,Semantics / Text Legibility,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
color details,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
texture details,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
color represents groups,2,2,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
unclear movement,2,1,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
clear color uses,2,2,"Color, Symbol, and Texture Details",MERGED (TF-IDF) (sim=0.295),-,Color Palette & Contrast,"Step 1: merged into ""distinguishable/full/highly contrast color uses""",merged,distinguishable/full/highly contrast color uses
small and simple,2,2,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
simple information,2,2,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
shape arrangement,2,2,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
description easy to read,2,2,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
different clarity,2,2,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
shapes and contrasts,2,1,Visual Encoding Clarity,MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color contrast/clarity""",merged,color contrast/clarity
size decreasing,2,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
size variation,2,2,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
require specialized knowledge,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
representation,2,2,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
random-like movement,2,2,Visual Encoding Clarity,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
easy to identify/extract/find features,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
number of legend items,2,2,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
number of levels,2,2,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
easy to derive meaning,2,2,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
drawing style,2,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
nothing clear,2,2,Visual Encoding Clarity,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
not enough knowledge to tell,2,2,Schema,MERGED (manual group),-,Processing Time & Effort,"Step 1: merged into ""take longer to interpret""",merged,take longer to interpret
complex design,2,2,Visual Encoding Clarity,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
concentrated,2,2,Data Density / Image Clutter,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
context,2,2,Semantics / Text Legibility,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
clear connection,2,2,Visual Encoding Clarity,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
word frequency,2,1,Semantics / Text Legibility,MERGED (manual group),-,Text Volume & Content,"Step 1: merged into ""amount of words/context/numbers""",merged,amount of words/context/numbers
unclear structure,2,2,Visual Encoding Clarity,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
clustered data/info,2,2,Data Density / Image Clutter,MERGED (TF-IDF) (sim=0.384),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
image size,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
harder to view data point,1,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
horizontal bars,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
highlighted words,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
hierarchical text,1,1,Semantics / Text Legibility,MERGED (manual group),-,Typography & Readability,"Step 1: merged into ""word rotation/small font size""",merged,word rotation/small font size
image location,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
image portrayal,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
image layout,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
icons,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Symbols & Texture,"Step 1: merged into ""symbols""",merged,symbols
hard to distinguish colors,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
graph,1,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
graphical information,1,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
grid layout,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
frame with values,1,1,Semantics / Text Legibility,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
misaligned,1,0,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
more axes,1,1,Semantics / Text Legibility,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
mixed timeline,1,1,Visual Encoding Clarity,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
more legible,1,1,Semantics / Text Legibility,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
hard to read shape,1,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
mixed size,1,1,Semantics / Text Legibility,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
lines and scales,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
line quantity representation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
line thickness variation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
line movement,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
mismatched number-circle proportion,1,1,Visual Encoding Clarity,MERGED (TF-IDF) (sim=0.000),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
infomration representation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
indication,1,1,Semantics / Text Legibility,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
inconsistent,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
visually striking,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
very different colors,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
labeled axis,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
length,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
legend on the top,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
less clear,1,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
less detailed/things,1,1,Data Density / Image Clutter,MERGED (manual group),-,Information Volume,"Step 1: merged into ""much/little data/info""",merged,much/little data/info
less empty space,1,1,Data Density / Image Clutter,MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
less negative space,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Visual Clutter & Overlap,"Step 1: merged into ""overlapping shapes/colors/lines""",merged,overlapping shapes/colors/lines
less organic shapes,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
less simple,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
less understandable,1,1,Immediacy / Cognitive Load,MERGED (manual group),-,Interpretive Difficulty,"Step 1: merged into ""easy/hard to interpret""",merged,easy/hard to interpret
length variation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
less uniform shapes,1,1,Visual Encoding Clarity,MERGED (manual group),-,Graphical Forms & Primitives,"Step 1: merged into ""shapes and lines""",merged,shapes and lines
waterfall-like,1,1,Schema,MERGED (TF-IDF) (sim=0.000),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
white color on black background,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
with legend,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
unknown hidden content,1,1,Visual Encoding Clarity,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
bold colors,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
axis scales,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
value representation,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
visually overwhelming,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Visual Disorganization,"Step 1: merged into ""distracting/confusing/unclear""",merged,distracting/confusing/unclear
visualization meaning,1,1,Semantics / Text Legibility,MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
visual cues,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Semantic Clarity,"Step 1: merged into ""unclear meaning/confusing""",merged,unclear meaning/confusing
blended colors,1,1,"Color, Symbol, and Texture Details",MERGED (manual group),-,Color Palette & Contrast,"Step 1: merged into ""color variety/shading""",merged,color variety/shading
axis meaning,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
arbitrary imaging,1,1,Aesthetics Uncertainty,MERGED (manual group),-,Domain Familiarity,"Step 1: merged into ""domain-specific concepts (e.g., chemical, biology, map)""",merged,"domain-specific concepts (e.g., chemical, biology, map)"
values in the middle,1,1,Visual Encoding Clarity,MERGED (manual group),-,Dimensionality & Structure,"Step 1: merged into ""2D/3D""",merged,2D/3D
axis numbers,1,1,Semantics / Text Legibility,MERGED (manual group),-,Annotations & Labels,"Step 1: merged into ""labels/axes/legends""",merged,labels/axes/legends
