imageName,relevant_topics,topic_explanation
VisC.375.9(2).png,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,The extremely low data density is the defining characteristic of this visualization's simplicity. The basic graph schema and trivial cognitive load confirm the minimal complexity.
InfoVisJ.1063.13.png,Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,The extremely dense dendrogram with many branches and the accompanying heatmap create high data density. The specialized hierarchical clustering schema requires domain knowledge. Interpreting cluster relationships across many nodes demands significant cognitive effort.
VASTJ.1.7.png,Schema; Data Density / Image Clutter; Immediacy / Cognitive Load,"The specialized multi-scale network schema with zoom lenses is the primary complexity driver, requiring graph analysis expertise. The extreme edge density within expanded clusters creates significant visual clutter. The cognitive load of connecting the overview chain to detailed subgraph views is substantial."
visMost97.png,"Color, Symbol, and Texture Details; Visual Encoding Clarity; Semantics / Text Legibility",The color-coded continent shapes are the primary visual element contributing to what little complexity exists. The geographic encoding and text labels are the only other notable features in this otherwise minimal infographic.
economist_daily_chart_493.png,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The enormous amount of text labels and numerical data embedded in each state region dominates the complexity. The high data density from multiple variables per state compounds this, and the cognitive load of integrating choropleth colors with tabular data across 16 regions is demanding."
visMost573.png,"Color, Symbol, and Texture Details; Data Density / Image Clutter; Immediacy / Cognitive Load","The rich variety of translucent colored concentric rings and their combinations is the primary complexity driver. The dense overlapping of these glyphs across the map creates substantial clutter, and distinguishing individual sound sources amid the layered transparency demands high cognitive effort."
VASTJ.870.4.png,Schema; Immediacy / Cognitive Load; Visual Encoding Clarity,"The specialized schema of question permutations and student distributions is the primary complexity driver. The cognitive load of mapping dual color gradients to student counts adds interpretive effort, and the visual encoding with graduated colors across two sections requires careful legend reference."
InfoVisJ.522.15.png,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter,The genomics Hi-C contact matrix schema requires specialized knowledge and is the primary complexity driver. Cross-referencing 8 panels at different zoom levels demands high cognitive load. The dense pixel-level matrix data across all panels contributes substantial information density.
VASTC.41.5.png,Schema; Aesthetics Uncertainty; Immediacy / Cognitive Load,"The specialized abstract schema is the primary driver of complexity, as it's nearly impossible to interpret without domain context. The chaotic, glitch-like aesthetics create high visual disorder, and the resulting cognitive load is substantial since the viewer must decipher unfamiliar encodings across four dense panels."
VisJ.1949.11.png,"Schema; Immediacy / Cognitive Load; Color, Symbol, and Texture Details",Schema is most relevant because the trajectory requires domain knowledge to interpret. Cognitive load is elevated by the complete absence of labels or legend. The color gradient along the trajectory is the primary visual encoding and the most notable detail in an otherwise sparse image.
SciVisJ.980.7(2).png,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The specialized polar parameterization schema is the primary complexity driver, requiring domain-specific knowledge. The rich color spectrum and diverse glyph shapes across layers add substantial visual complexity. Together these demand high cognitive effort to decode the relationships between parameters."
VisJ.1197.5(3).png,Data Density / Image Clutter; Aesthetics Uncertainty; Immediacy / Cognitive Load,"The sheer density of hundreds of overlapping 3D blocks is the primary complexity driver. The visual clutter from occlusion and overlapping elements makes the layout appear chaotic, and the lack of any textual guidance combined with the 3D perspective demands significant cognitive effort to interpret."
wsj124.png,Semantics / Text Legibility; Visual Encoding Clarity; Data Density / Image Clutter,"The text volume (title, subtitle, labels, source) is the most notable complexity element in an otherwise minimal chart. The simple dot encoding and very sparse data density confirm the low overall complexity."
InfoVisJ.669.4.png,Data Density / Image Clutter; Aesthetics Uncertainty; Immediacy / Cognitive Load,"The heavy overplotting in the lower-right region is the primary complexity driver, making data density the most relevant topic. The resulting visual clutter (aesthetics uncertainty) and difficulty discerning individual points in dense areas (cognitive load) are secondary contributors."
InfoVisC.157.1.png,Data Density / Image Clutter; Immediacy / Cognitive Load; Schema,The high data density from thousands of points across 36 panels is the primary complexity driver. The cognitive load of comparing pairwise relationships across 9 variables is substantial. The SPLOM schema requires familiarity with multivariate visualization conventions.
VASTJ.1720.4.png,Data Density / Image Clutter; Immediacy / Cognitive Load; Visual Encoding Clarity,"The very low data density is the defining feature of this simple chart. Cognitive load is minimal due to the straightforward bar encoding, and the visual encoding is as basic as possible with simple rectangular bars."
wsj28.png,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The dominant complexity driver is the sheer volume of text labels and annotations crowding the chart. The 12 individually labeled segments create moderate data density, and connecting each label to its segment requires non-trivial cognitive effort."
InfoVisJ.2639.8.png,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The heavy text in the table is the most visually prominent complexity driver. The three coordinated panels contribute moderate data density, and cross-referencing between panels increases cognitive load."
InfoVisJ.691.6(3).png,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The visualization is entirely text-based, making text volume the dominant feature. The moderate density of overlapping words contributes to clutter. Despite the text density, the word cloud format is immediately recognizable, keeping cognitive load relatively low."
InfoVisJ.2556.8.png,Semantics / Text Legibility; Data Density / Image Clutter; Aesthetics Uncertainty,"The visualization is almost entirely composed of dense, overlapping text labels, making text volume the dominant complexity factor. The resulting image clutter from intersecting street names at multiple angles creates high visual density, and the chaotic overlapping layout drives aesthetic uncertainty."
VASTC.51.10.png,Immediacy / Cognitive Load; Schema; Data Density / Image Clutter,"The high cognitive load from interpreting multiple layered encodings simultaneously is the primary complexity driver. The specialized topic-flow schema requires domain knowledge of text analysis visualization. Dense overlapping text labels, flow lines, and background streams contribute substantial clutter."
whoJ44.png,Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The text volume (title, annotations, labels) is the most notable complexity element in an otherwise very simple chart. The low data density and immediate interpretability confirm the overall low complexity."
v483_n7390_1_f2.png,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter,"The specialized spectroscopy schema is the primary complexity driver, requiring domain expertise to interpret resonance peaks. Comparing features across three noisy spectra adds cognitive load, and the noisy line traces contribute moderate data density."
InfoVisC.8.7.png,Schema; Immediacy / Cognitive Load; Data Density / Image Clutter,"The specialized astronomical polar projection schema is the primary complexity driver, requiring domain expertise. High cognitive load stems from interpreting overlapping stellar paths in this coordinate system. Dense overlapping gridlines and trajectory curves add significant visual clutter."
SciVisJ.796.18.png,"Schema; Visual Encoding Clarity; Color, Symbol, and Texture Details","The specialized engineering/scientific domain knowledge required to interpret a contour field plot is the primary complexity driver. The continuous field encoding with discrete color bins adds moderate encoding complexity, and the sequential colormap choice is central to reading the data."
VisC.433.1.png,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The continuous heatmap packs dense spectral information into every pixel, making data density the primary complexity driver. The rich multi-hue color scale spanning the full spectrum adds significant visual complexity. Together these demand considerable cognitive effort to parse patterns across states and frequencies."
SciVisJ.259.7.png,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The specialized geospatial/meteorological schema is the primary complexity driver, requiring domain knowledge to interpret. The layered color encoding with contour overlays adds visual detail, and the cognitive load of relating the inset zoom to the main view increases interpretive effort."
