imageName,imageURL,VisType,NormalizedVC,vc_tier,Topics,SubTopics,rawUserComments,humanCuratedPhrases,v0_topics,v0_explanation,scoring_v4_topics,scoring_v4_explanation
VisC.375.9(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisC.375.9(2).png,Node-link,0.4,low,Visual Encoding Clarity; Immediacy / Cognitive Load,"Position, Scale & Organization; Interpretive Difficulty",in the right one you can clearly see the 2 point of each element,shape position; easy to interpret/read/understand,Schema; Semantics / Text Legibility; Visual Encoding Clarity,"This is a graph/network diagram requiring domain knowledge to interpret node-edge relationships and cluster groupings. Text labels (a1, a5, b1, b9, b10, c1, c3, c9, d1, d2) are prominent and essential for reading the structure. The sparse spatial layout and use of dots connected by blue lines demands understanding of graph encoding conventions.",Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,The extremely low data density is the defining characteristic of this visualization's simplicity. The basic graph schema and trivial cognitive load confirm the minimal complexity.
InfoVisJ.1063.13.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.1063.13.png,Node-link,0.67,mid,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Element Quantity; Color Palette & Contrast; Visual Disorganization; Interpretive Difficulty,"The second one is much easier to understand than the first. The second graph only has black.; Image on the right is simple, although at the end it has many lines it's visually more pleasing than the one on the left.",more charts/points/lines/shapes/elements; black color; visual clarity/appealing; easier to interpret/read/understand,Data Density / Image Clutter; Schema; Semantics / Text Legibility,"The dendrogram contains hundreds of densely packed hierarchical branches and leaf labels, creating extreme visual clutter. Understanding a dendrogram requires domain knowledge of hierarchical clustering structures. The leaf-level text labels are completely illegible due to extreme compression, making semantic interpretation nearly impossible.",Data Density / Image Clutter; Schema; Immediacy / Cognitive Load,The extremely dense dendrogram with many branches and the accompanying heatmap create high data density. The specialized hierarchical clustering schema requires domain knowledge. Interpreting cluster relationships across many nodes demands significant cognitive effort.
VASTJ.1.7.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.1.7.png,Node-link,0.83,high,Data Density / Image Clutter; Immediacy / Cognitive Load,Element Quantity; Processing Time & Effort,"1. Pictures are more scattered, which takes more time to look at.","scattered shapes (e.g., dots, squares, pictures); take longer to interpret","Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details","The visualization contains densely packed network graphs with heavily overlapping edges and nodes, creating significant visual clutter. It requires specialized knowledge of graph/network topology and multi-scale clustering to interpret the hierarchical structure. Multiple distinct color groups (red, orange, yellow, dark blue) encode different node categories, adding another layer of complexity to decode.",Schema; Data Density / Image Clutter; Immediacy / Cognitive Load,"The specialized multi-scale network schema with zoom lenses is the primary complexity driver, requiring graph analysis expertise. The extreme edge density within expanded clusters creates significant visual clutter. The cognitive load of connecting the overview chain to detailed subgraph views is substantial."
visMost97.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost97.png,Area,0.38,low,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Information Volume; Domain Familiarity; Color Palette & Contrast; Interpretive Difficulty,"uses common knowledge, is easy to understand, has distinguished/distinctive colors, and presents simple information.",simple information; familiar representation; color variety/arrangement/distribution; easy to interpret/read/understand,"Color, Symbol, and Texture Details; Semantics / Text Legibility; Visual Encoding Clarity","Each continent is distinctly color-coded, making color the primary encoding mechanism. Text labels with numbers and region names are scattered around the map, requiring attention to legibility. The visual encoding uses geographic silhouettes scaled loosely to population proportions, which requires some interpretation to understand the relationship between map size and the annotated statistics.","Color, Symbol, and Texture Details; Visual Encoding Clarity; Semantics / Text Legibility",The color-coded continent shapes are the primary visual element contributing to what little complexity exists. The geographic encoding and text labels are the only other notable features in this otherwise minimal infographic.
economist_daily_chart_493.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/economist_daily_chart_493.png,Area,0.59,mid,"Data Density / Image Clutter; Schema; Color, Symbol, and Texture Details",Information Volume; Domain Familiarity; Color Palette & Contrast,"Amount of details, draw style, colors",more detailed/things; drawing style; unclear colormaps,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Semantics / Text Legibility","The map is densely packed with numeric labels, colored data boxes, and regional annotations across every German state, creating high clutter. Multiple color schemes encode unemployment rates via choropleth shading while colored boxes (brown/blue) represent GDP and population for two time periods. The volume of text labels, legend entries, region names, and annotated values demands significant reading effort to parse.",Semantics / Text Legibility; Data Density / Image Clutter; Immediacy / Cognitive Load,"The enormous amount of text labels and numerical data embedded in each state region dominates the complexity. The high data density from multiple variables per state compounds this, and the cognitive load of integrating choropleth colors with tabular data across 16 regions is demanding."
visMost573.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/visMost573.png,Area,0.77,high,"Data Density / Image Clutter; Visual Encoding Clarity; Semantics / Text Legibility; Schema; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Visual Clutter & Overlap; Dimensionality & Structure; Element Quantity; Information Volume; Graphical Forms & Primitives; Visual Disorganization; Annotations & Labels; Interpretive Difficulty; Typography & Readability; Text Volume & Content; Abstraction Level; Domain Familiarity; Color Palette & Contrast; Symbols & Texture,"The circles on the right side might also be a lot, but I can clearly link it to the image legend.; To many colours. Text is to small. Its not straight to the point; To many colours Text is to small Its not straight to the point; The initial understanding of what's shown to me made me think the orange image was more complex, as it was harder to decipher. The colour superposition also means more complexity. Finally, the amount of information as well as its disposition.; I assessed the images on how complicated they looked at first glance and whether I could glean any information from them instantly. If one image hurt my eyes or looked confusing I judged that to be more complex.cluttered as the one on the left.; density of information, number of colors, number of items on the legend, overlap of circle areas; It is more complex as I find it more difficult in terms of image layout; The orange image is much less clear, much more packed with information in a visually intricate way. The use of color is much more layered in the orange image than in the other one.; multiple features overlapping features several more colours large key; multiple features; overlapping features; several more colours; large key; Intense colors, multiple figures, smaller icons, hard to understand; number of items on the legend, overlap of different colors; Lots of colours, Different size of circles, Overlapping, The explanation text and the legend on the left side of the page; More overlapping colors; More colors; Background color; More text; Lots of colours; Different size of circles; Overlapping; The explanation text and the legend on the left side of the page; Too many circles in the orange highlighted one. Everything (circles and colours) are mixed together making it difficult to discern information. Use of ambiguous colours on the left.; Too many circles in the orange highlighted one Everything (circles and colours) are mixed together making it difficult to discern information Use of ambiguous colours; The image looks as if it might be easier to decipher.; complexity vague in general difficult to read; complex data sets , appealing colours , easier to visualize; I have the feeling I don't need to do this in the right image.; The visualization on the right looks more like an abstract painting.; However, the second image, even with info, it's quite difficult for me. By the way, another thing I realized was that, sometimes the image is apparently not complex, but it is to me. For example, with these images about black holes or similar to black holes.; At first, I thought that the image on the right was more difficult. But, after looking at it for a long time, I stared to understand what it meant.; 1. Visuals that tell the story 2. Labels are clear 3. Key is easy to understand 4. Description easy to read; The small text in the upper left kept distracting me every time I saw this image. The text is too small to read and because of that I felt this was less accessible and comprehensible. It became more familiar every time I saw it; however, I did feel that it was overly complex.; The image uses circles of various sizes and colors to represent sounds throughout Jerusalem. It conveys information in a complex way using these circles and text labels, though the visual elements themselves are relatively simple.; first reason is how quick i can understand the image, and because i saw the second multiple times, i guess it played a huge role on that; Sur l'image la plus simple il y a une légende et des couleurs aidant à la compréhension.","dense/cluttered data/info; dense/cluttered layout; disposition; many/more data/info; more charts/points/lines/shapes/elements; much/more data/info/info spread; multiple features/elements/graphs; overlapping shapes/colors/lines; shape-color mix; clear connection; shape size; shape size variation; shapes and lines; simple visual elements; -; clear title/axis/label; description easy to read; explanation text; legend easy to understand; more texts/words; number of legend items; title/axis/label/descriptions; too much legend; word rotation/small font size; abstract shapes or colors; domain-specific concepts (e.g., chemical, biology, map); familiar representation; no context or reference; ambiguous/confusing colors; color represents sounds; color superposition/layer; color variety/arrangement/distribution; distinguishable color variety/arrangement/distribution; indicating symbols; intense/too many colors; more colors; soft/layered/overlapping colors; too many colors; white/black background / other background; distracting/confusing/unclear; complicated to process; easier to interpret/read/understand; easier to process/visualize; easy to interpret/read/understand; hard to compare/discern/distinguish; hard to interpret/read/understand; hard to interpret/read/understand/differentiate; more difficult; more difficult to interpret/read/understand/differentiate; not intuitive/simple data","Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The map is densely packed with dozens of overlapping concentric circle glyphs representing sound sources, creating significant visual clutter. Multiple colors (blue, red, orange, green, gray) encode different sound types, with complex overlap patterns requiring careful legend interpretation. Decoding the layered color combinations and spatial distributions demands high cognitive effort, especially given the specialized thematic content.","Color, Symbol, and Texture Details; Data Density / Image Clutter; Immediacy / Cognitive Load","The rich variety of translucent colored concentric rings and their combinations is the primary complexity driver. The dense overlapping of these glyphs across the map creates substantial clutter, and distinguishing individual sound sources amid the layered transparency demands high cognitive effort."
VASTJ.870.4.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTJ.870.4.png,Grid,0.48,low,Immediacy / Cognitive Load,Interpretive Difficulty,Ease of understanding,easy to interpret/read/understand,"Color, Symbol, and Texture Details; Visual Encoding Clarity; Immediacy / Cognitive Load","The visualization uses two color gradients (orange and green) with varying intensities to encode student numbers, making color the primary complexity driver. The encoding combines large background bars with small vertical markers in a non-standard layout that requires effort to interpret. Understanding what the bars, markers, and gradient scales represent demands significant cognitive effort, especially without clear axis labels.",Schema; Immediacy / Cognitive Load; Visual Encoding Clarity,"The specialized schema of question permutations and student distributions is the primary complexity driver. The cognitive load of mapping dual color gradients to student counts adds interpretive effort, and the visual encoding with graduated colors across two sections requires careful legend reference."
InfoVisJ.522.15.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/InfoVisJ.522.15.png,Grid,0.64,mid,Data Density / Image Clutter; Immediacy / Cognitive Load,Element Quantity; Interpretive Difficulty,appears to have a lot of data points; unclear what the differences are between the four different matrices and snippets; the quadrants appear to provide slightly more detailed information,more charts/points/lines/shapes/elements; hard to interpret/read/understand,"Schema; Color, Symbol, and Texture Details; Data Density / Image Clutter","These are genomic contact matrices requiring specialized domain knowledge (Hi-C data) to interpret, making schema critical. Multiple color schemes (grayscale, red heatmaps, blue-tinted panels) plus annotated symbols (circles, arrows) add encoding complexity. The dense pixel-level data across eight panels creates substantial visual clutter and information load.",Schema; Immediacy / Cognitive Load; Data Density / Image Clutter,The genomics Hi-C contact matrix schema requires specialized knowledge and is the primary complexity driver. Cross-referencing 8 panels at different zoom levels demands high cognitive load. The dense pixel-level matrix data across all panels contributes substantial information density.
VASTC.41.5.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VASTC.41.5.png,Grid,0.84,high,"Data Density / Image Clutter; Color, Symbol, and Texture Details; Immediacy / Cognitive Load",Element Quantity; Color Palette & Contrast; Processing Time & Effort,"A lot of different colors and shapes, it took me a long time to understand what I was looking at and how to look at it.",more charts/points/lines/shapes/elements; color variety/arrangement/distribution; take longer to interpret,"Color, Symbol, and Texture Details; Data Density / Image Clutter; Immediacy / Cognitive Load","The four panels display highly varied, glitch-like color patterns with dense overlapping stripes and blocks, making color and texture the dominant complexity driver. The visual clutter and data density across panels (a–d) create extreme noise. Together, these factors impose high cognitive load, as interpreting the progression or meaning across panels requires significant effort without clear labels or standard chart conventions.",Schema; Aesthetics Uncertainty; Immediacy / Cognitive Load,"The specialized abstract schema is the primary driver of complexity, as it's nearly impossible to interpret without domain context. The chaotic, glitch-like aesthetics create high visual disorder, and the resulting cognitive load is substantial since the viewer must decipher unfamiliar encodings across four dense panels."
VisJ.1949.11.png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/VisJ.1949.11.png,Glyph,0.45,low,"Semantics / Text Legibility; Color, Symbol, and Texture Details; Aesthetics Uncertainty; Immediacy / Cognitive Load",Annotations & Labels; Color Palette & Contrast; Visual Disorganization; Semantic Clarity,1) I'm not sure how to interpret the highlighted image because I don't know what I'm looking at 2) No clear pattern 3) No measurements 4) Not sure what the colors differentiate,no measurement/metric/axis; color differentiation; distracting/confusing/unclear; unclear meaning/confusing,"Color, Symbol, and Texture Details; Schema; Immediacy / Cognitive Load","Color is the primary encoding mechanism, mapping a variable (likely time or velocity) along orbital/trajectory paths using a spectral gradient from red through yellow to cyan. The visualization appears to represent orbital mechanics or particle trajectories, requiring domain knowledge to interpret. The minimal context, lack of labels, and abstract representation increase cognitive load as viewers must infer meaning from shape and color alone.","Schema; Immediacy / Cognitive Load; Color, Symbol, and Texture Details",Schema is most relevant because the trajectory requires domain knowledge to interpret. Cognitive load is elevated by the complete absence of labels or legend. The color gradient along the trajectory is the primary visual encoding and the most notable detail in an otherwise sparse image.
SciVisJ.980.7(2).png,https://raw.githubusercontent.com/c109363/ExperimentImage/main/AllDataResize/SciVisJ.980.7(2).png,Glyph,0.65,mid,Immediacy / Cognitive Load,Interpretive Difficulty,it is clearer what I can learn.,easy to interpret/read/understand,"Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","This visualization requires specialized domain knowledge (likely quantum mechanics or wave optics) to interpret its polar coordinate structure, ellipses, and star-shaped glyphs. A rich variety of colors encodes angular position (γ values) while symbol shapes (circles, ellipses, multi-lobed forms) encode additional dimensions. The combination of abstract encoding and domain-specific notation creates high cognitive load for interpretation.","Schema; Color, Symbol, and Texture Details; Immediacy / Cognitive Load","The specialized polar parameterization schema is the primary complexity driver, requiring domain-specific knowledge. The rich color spectrum and diverse glyph shapes across layers add substantial visual complexity. Together these demand high cognitive effort to decode the relationships between parameters."
